question,question-category,answer,input_circumstance,output_circumstance,lang,variables
What is my balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
what is the balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my total amount?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
what is my amount?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is the total account balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my total account balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my account balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is the balance in my account?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my card balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
what is the balance in my card?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my wallet balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is the wallet balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
what is the balance in my wallet?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
My balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
my wallet balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
My card balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
I need to know my card balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
