question,topic,type,answer-type,answer
What is my balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
what is the balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
What is my total amount?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
what is my amount?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
What is the total account balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
What is my total account balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
What is my account balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
What is the balance in my account?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
What is my card balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
what is the balance in my card?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
What is my wallet balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
What is the wallet balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
what is the balance in my wallet?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
My balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
my wallet balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
My card balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
I need to know my card balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
I need to know my wallet balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
I need to know my account balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
I need to know my balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
I want to know my card balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
I want to know my wallet balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
I want to know my account balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
I want to know my balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
balance?,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
Card balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
Wallet balance,balance-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
What is my transaction history?,transaction-history-inquiry,dynamic-query,1,"Your wallet balance is $3,249"
what is the transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
